args.feature_dim:  251
Dataset Wisconsin: num_nodes=251, feature_dim=1703, num_classes=5
params:  15623269
[split 0] Epoch 010, Loss: 0.7140, Val Acc: 0.7750, Test Acc: 0.7843, Test Pre: 0.7103, Test F1: 0.7383
[split 0] Epoch 020, Loss: 0.5154, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.7766, Test F1: 0.7852
[split 0] Epoch 030, Loss: 0.4667, Val Acc: 0.8625, Test Acc: 0.8039, Test Pre: 0.7911, Test F1: 0.7851
[split 0] Epoch 040, Loss: 0.4382, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.7911, Test F1: 0.7851
[split 0] Epoch 050, Loss: 0.4216, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.7911, Test F1: 0.7851
[split 0] Epoch 060, Loss: 0.4120, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.7927, Test F1: 0.7834
[split 0] Epoch 070, Loss: 0.4062, Val Acc: 0.7875, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 080, Loss: 0.4022, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 090, Loss: 0.3995, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 100, Loss: 0.3976, Val Acc: 0.7625, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 110, Loss: 0.3961, Val Acc: 0.7500, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 120, Loss: 0.3951, Val Acc: 0.7375, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 130, Loss: 0.3942, Val Acc: 0.7375, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 140, Loss: 0.3935, Val Acc: 0.7375, Test Acc: 0.8235, Test Pre: 0.8158, Test F1: 0.8029
[split 0] Epoch 150, Loss: 0.3929, Val Acc: 0.7375, Test Acc: 0.8039, Test Pre: 0.7759, Test F1: 0.7798
[split 0] Epoch 160, Loss: 0.3924, Val Acc: 0.7375, Test Acc: 0.8039, Test Pre: 0.7759, Test F1: 0.7798
[split 0] Epoch 170, Loss: 0.3920, Val Acc: 0.7250, Test Acc: 0.8039, Test Pre: 0.7862, Test F1: 0.7820
[split 0] Epoch 180, Loss: 0.3917, Val Acc: 0.7250, Test Acc: 0.8039, Test Pre: 0.8088, Test F1: 0.7805
[split 0] Epoch 190, Loss: 0.3914, Val Acc: 0.7250, Test Acc: 0.8039, Test Pre: 0.8088, Test F1: 0.7805
[split 0] Epoch 200, Loss: 0.3911, Val Acc: 0.7250, Test Acc: 0.8039, Test Pre: 0.8088, Test F1: 0.7805
[split 0] Epoch 210, Loss: 0.3909, Val Acc: 0.7250, Test Acc: 0.8039, Test Pre: 0.8088, Test F1: 0.7805
[split 0] Epoch 220, Loss: 0.3907, Val Acc: 0.7125, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 230, Loss: 0.3905, Val Acc: 0.7125, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 240, Loss: 0.3904, Val Acc: 0.7125, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 250, Loss: 0.3903, Val Acc: 0.7250, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 260, Loss: 0.3902, Val Acc: 0.7250, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 270, Loss: 0.3901, Val Acc: 0.7250, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 280, Loss: 0.3901, Val Acc: 0.7250, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 290, Loss: 0.3900, Val Acc: 0.7250, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
[split 0] Epoch 300, Loss: 0.3900, Val Acc: 0.7250, Test Acc: 0.7843, Test Pre: 0.7633, Test F1: 0.7615
Best Test Metrics for split 0: {'accuracy': 0.7843137254901961, 'precision': 0.7563567757606506, 'f1': 0.7640817761421204}
params:  15623269
[split 1] Epoch 010, Loss: 0.6745, Val Acc: 0.6625, Test Acc: 0.8627, Test Pre: 0.8076, Test F1: 0.8324
[split 1] Epoch 020, Loss: 0.5024, Val Acc: 0.8125, Test Acc: 0.8627, Test Pre: 0.8499, Test F1: 0.8526
[split 1] Epoch 030, Loss: 0.4480, Val Acc: 0.8000, Test Acc: 0.8627, Test Pre: 0.8499, Test F1: 0.8526
[split 1] Epoch 040, Loss: 0.4222, Val Acc: 0.7875, Test Acc: 0.9020, Test Pre: 0.8856, Test F1: 0.8900
[split 1] Epoch 050, Loss: 0.4096, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8078, Test F1: 0.8250
[split 1] Epoch 060, Loss: 0.4040, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.7961, Test F1: 0.8170
[split 1] Epoch 070, Loss: 0.4005, Val Acc: 0.7625, Test Acc: 0.8431, Test Pre: 0.7961, Test F1: 0.8170
[split 1] Epoch 080, Loss: 0.3984, Val Acc: 0.7625, Test Acc: 0.8431, Test Pre: 0.7961, Test F1: 0.8170
[split 1] Epoch 090, Loss: 0.3969, Val Acc: 0.7625, Test Acc: 0.8431, Test Pre: 0.7961, Test F1: 0.8170
[split 1] Epoch 100, Loss: 0.3958, Val Acc: 0.7625, Test Acc: 0.8431, Test Pre: 0.7974, Test F1: 0.8151
